Jintra	DeltaJ	Freq1	Freq2	Freq3
-10.400000	-14.006667	16.833201	13.532127	30.365328
-10.400000	-14.503333	16.789304	13.691254	30.480559
-10.400000	-15.000000	16.756189	13.849040	30.605229
-11.300000	-0.100000	0.000000	11.300203	11.300203
-11.300000	-0.596667	0.000000	11.307216	11.307216
-11.300000	-1.093333	0.000000	11.324195	11.324195
-11.300000	-1.590000	0.000000	11.351058	11.351058
-11.300000	-2.086667	0.000000	11.387676	11.387676
-11.300000	-2.583333	0.000000	11.433873	11.433873
-11.300000	-3.080000	0.000000	11.489433	11.489433
-11.300000	-3.576667	0.000000	11.554096	11.554096
-11.300000	-4.073333	0.000000	11.627567	11.627567
-11.300000	-4.570000	0.000000	11.709517	11.709517
-11.300000	-5.066667	0.000000	11.799585	11.799585
-11.300000	-5.563333	0.000000	11.897387	11.897387
-11.300000	-6.060000	0.000000	12.002512	12.002512
-11.300000	-6.556667	0.000000	12.114534	12.114534
-11.300000	-7.053333	0.000000	12.233009	12.233009
-11.300000	-7.550000	0.000000	12.357482	12.357482
-11.300000	-8.046667	0.000000	12.487491	12.487491
-11.300000	-8.543333	0.000000	12.622568	12.622568
-11.300000	-9.040000	0.000000	12.762243	12.762243
-11.300000	-9.536667	0.000000	12.906045	12.906045
-11.300000	-10.033333	0.000000	13.053507	13.053507
-11.300000	-10.530000	0.000000	13.204169	13.204169
-11.300000	-11.026667	19.017669	13.357575	32.375244
-11.300000	-11.523333	18.901970	13.513280	32.415250
-11.300000	-12.020000	18.793404	13.670849	32.464254
-11.300000	-12.516667	18.692359	13.829860	32.522219
-11.300000	-13.013333	18.599208	13.989903	32.589111
-11.300000	-13.510000	18.514313	14.150584	32.664897
-11.300000	-14.006667	18.438017	14.311524	32.749542
-11.300000	-14.503333	18.370650	14.472362	32.843012
-11.300000	-15.000000	18.312521	14.632751	32.945272
-12.200000	-0.100000	0.000000	12.200188	12.200188
-12.200000	-0.596667	0.000000	12.206684	12.206684
-12.200000	-1.093333	0.000000	12.222416	12.222416
-12.200000	-1.590000	0.000000	12.247319	12.247319
-12.200000	-2.086667	0.000000	12.281290	12.281290
-12.200000	-2.583333	0.000000	12.324189	12.324189
-12.200000	-3.080000	0.000000	12.375841	12.375841
-12.200000	-3.576667	0.000000	12.436040	12.436040
-12.200000	-4.073333	0.000000	12.504547	12.504547
-12.200000	-4.570000	0.000000	12.581096	12.581096
-12.200000	-5.066667	0.000000	12.665394	12.665394
-12.200000	-5.563333	0.000000	12.757127	12.757127
-12.200000	-6.060000	0.000000	12.855957	12.855957
-12.200000	-6.556667	0.000000	12.961532	12.961532
-12.200000	-7.053333	0.000000	13.073485	13.073485
-12.200000	-7.550000	0.000000	13.191434	13.191434
-12.200000	-8.046667	0.000000	13.314991	13.314991
-12.200000	-8.543333	0.000000	13.443760	13.443760
-12.200000	-9.040000	0.000000	13.577340	13.577340
-12.200000	-9.536667	0.000000	13.715327	13.715327
-12.200000	-10.033333	0.000000	13.857319	13.857319
-12.200000	-10.530000	0.000000	14.002913	14.002913
-12.200000	-11.026667	0.000000	14.151710	14.151710
-12.200000	-11.523333	0.000000	14.303316	14.303316
-12.200000	-12.020000	20.504909	14.457345	34.962254
-12.200000	-12.516667	20.390447	14.613415	35.003862
-12.200000	-13.013333	20.282644	14.771156	35.053800
-12.200000	-13.510000	20.181829	14.930207	35.112036
